road,Damwatch 2016 arrival (h),model arrival (h),Damwatch depth (m),model max depth (m)
Carleton Road,1.5,0.77,0.68,1.0
Wolffs Road,2.08,1.33,0.33,0.94
Poyntzs Road,2.67,1.9,0.34,0.75
Pesters Road,3.0,2.27,0.57,0.51
Downs Road,4.17,3.33,0.3,1.18
Browns Road,5.25,,0.58,0.0
Two Chain Road,7.33,,0.46,0.0
Diversion Road,9.0,,<0.1,
