chainage_m,E,N,thalweg_mRL,crest_left_mRL,crest_right_mRL,bankfull_mRL,limiting_bank,bankfull_depth_m,top_width_m,area_m2,capacity_m3s,slope,stage_150_m,freeboard_150_m,stage_300_m,freeboard_300_m
14125.0,1550900.349,5197492.619,103.94,105.998,106.828,105.998,left,2.058,274.0,296.871,708.648,0.006,1.35,0.708,1.5,0.558
14375.0,1551147.82,5197457.445,102.217,104.41,104.851,104.41,left,2.193,158.0,208.518,570.482,0.006,1.3,0.893,1.5,0.693
14625.0,1551383.367,5197377.866,100.092,103.006,102.827,102.827,right,2.735,298.0,302.343,696.928,0.006,2.0,0.735,2.2,0.535
14875.0,1551610.36,5197273.109,98.645,100.991,101.592,100.991,left,2.346,230.0,174.697,329.078,0.006,1.95,0.396,2.1,0.246
15125.0,1551837.353,5197168.352,97.871,99.807,101.453,99.807,left,1.935,170.0,169.239,372.905,0.006,1.25,0.685,1.4,0.535
15375.0,1552071.24,5197081.636,96.218,98.007,100.01,98.007,left,1.789,148.0,151.376,335.46,0.006,1.2,0.589,1.4,0.389
15625.0,1552299.881,5196988.909,94.309,97.325,97.403,97.325,left,3.016,200.0,370.382,1222.747,0.006,1.0,2.016,1.25,1.766
15875.0,1552405.008,5196764.934,93.005,95.176,96.13,95.176,left,2.172,156.0,166.136,382.907,0.006,1.15,1.022,1.45,0.722
16125.0,1552591.534,5196610.22,91.766,94.192,95.031,94.192,left,2.426,272.0,398.572,1163.128,0.006,1.15,1.276,1.35,1.076
16375.0,1552835.249,5196556.352,90.153,92.393,92.143,92.143,right,1.99,234.0,273.008,680.858,0.006,1.2,0.79,1.45,0.54
16625.0,1553058.163,5196451.843,88.172,90.647,91.161,90.647,left,2.475,174.0,205.389,513.647,0.006,1.3,1.175,1.55,0.925
16875.0,1553258.402,5196321.232,87.055,89.148,90.288,89.148,left,2.093,226.0,261.443,654.678,0.006,1.3,0.793,1.5,0.593
17125.0,1553502.298,5196266.997,84.902,87.067,88.191,87.067,left,2.165,224.0,178.535,358.193,0.007,1.9,0.265,2.05,0.115
17375.0,1553750.999,5196242.802,83.805,85.986,86.064,85.986,left,2.181,202.0,272.462,764.552,0.007,1.3,0.881,1.65,0.531
17625.0,1553986.08,5196167.61,82.271,85.267,84.736,84.736,right,2.465,190.0,285.651,840.769,0.006,1.35,1.115,1.5,0.965
17875.0,1554222.846,5196089.014,80.282,82.972,82.984,82.972,left,2.69,204.0,231.552,553.779,0.006,1.7,0.99,1.95,0.74
18125.0,1554439.275,5195966.542,77.823,81.48,81.87,81.48,left,3.657,248.0,298.389,729.904,0.006,2.6,1.057,2.85,0.807
18375.0,1554638.264,5195815.203,77.562,80.844,80.755,80.755,right,3.193,238.0,399.485,1231.957,0.006,1.65,1.543,1.9,1.293
18625.0,1554848.326,5195680.828,76.389,79.169,79.388,79.169,left,2.78,218.0,357.719,1082.791,0.006,1.6,1.18,1.8,0.98
18875.0,1555087.106,5195606.772,75.307,77.47,77.742,77.47,left,2.163,404.0,429.031,968.729,0.006,1.2,0.963,1.45,0.713
