run,road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N
trees,Carleton Road,543,83,0.8333333134651184,2.3848235607147217,1537398.715261208,5196267.422441864
trees,Wolffs Road,415,102,1.3333333730697632,2.151630401611328,1539424.120859719,5194885.621080981
trees,Poyntzs Road,544,133,1.9166666269302368,0.8937382102012634,1541828.7491508655,5194198.668070868
trees,Pesters Road,291,65,2.4166667461395264,0.6373103260993958,1543534.0241761813,5194511.775579985
trees,Wrights Road,427,20,0.1799883395433426,1.9043633937835693,1535214.024725096,5196823.77573058
trees,Dixon Road,181,110,1.0,1.8570489883422852,1536015.4418493537,5197176.1162094455
trees,South Eyre Road,1290,0,,0.0,,
trees,Domain Road,280,0,,0.0,,
none,Carleton Road,543,83,0.8333333134651184,2.3848235607147217,1537398.715261208,5196267.422441864
none,Wolffs Road,415,101,1.3333333730697632,2.1522202491760254,1539424.120859719,5194885.621080981
none,Poyntzs Road,544,129,1.9166666269302368,0.786405086517334,1541828.7491508655,5194198.668070868
none,Pesters Road,291,60,2.3367390632629395,0.5415729284286499,1543534.0241761813,5194511.775579985
none,Wrights Road,427,20,0.1799883395433426,1.9043633937835693,1535214.024725096,5196823.77573058
none,Dixon Road,181,110,1.0,1.8111428022384644,1536015.4418493537,5197176.1162094455
none,South Eyre Road,1290,0,,0.0,,
none,Domain Road,280,0,,0.0,,
