road,points_inundated_gt_0.1m,max_depth_m
Carleton Road,42.0,1.66
Wolffs Road,86.0,0.71
Poyntzs Road,68.0,1.34
Pesters Road,59.0,1.33
Downs Road,58.0,1.15
Browns Road,135.0,1.48
Two Chain Road,79.0,1.05
Diversion Road,41.0,0.4
Wrights Road,28.0,0.27
Dixon Road,0.0,0.0
South Eyre Road,471.0,1.19
Thongcaster Road,0.0,0.0
Domain Road,1.0,0.2
Barrett Road,0.0,0.0
Kennedy Road,,
North Eyre Road,85.0,0.29
Dixons Road,,
Harmans Gorge Road,21.0,1.58
Depot Road,37.0,1.57
Warren Road,38.0,1.49
Steffens Road,44.0,1.5
Tram Road,0.0,0.02
