chainage_m,E,N,thalweg_mRL,crest_left_mRL,crest_right_mRL,bankfull_mRL,limiting_bank,bankfull_depth_m,top_width_m,area_m2,capacity_m3s,slope,right_crest_E,right_crest_N,level_100_mRL,over_right_100_m,over_left_100_m,level_150_mRL,over_right_150_m,over_left_150_m,level_300_mRL,over_right_300_m,over_left_300_m,level_500_mRL,over_right_500_m,over_left_500_m,level_800_mRL,over_right_800_m,over_left_800_m,level_1200_mRL,over_right_1200_m,over_left_1200_m,path_min_dist_to_north_embankment_m,path_length_km,path_end_E,path_end_N,right_bank_in_d8_catchment,right_bank_in_anypath_area,mfd_share_at_north_embankment,chainage_rel_site_km
26086.596,1537892.12,5202833.806,201.137,206.005,206.468,206.005,left,4.868,524.0,1223.941,4915.373,0.006,1537947.013,5202700.68,201.187,-5.281,-4.818,201.187,-5.281,-4.818,201.237,-5.231,-4.768,201.537,-4.931,-4.468,201.837,-4.631,-4.168,202.187,-4.281,-3.818,5721.536,26.34,1562490.0,5191190.0,False,False,0.0,1.125
26336.596,1538104.239,5202962.018,199.509,203.509,203.832,203.509,left,4.0,738.0,1108.51,3257.88,0.006,1538165.241,5202792.67,200.059,-3.773,-3.45,200.259,-3.573,-3.25,200.659,-3.173,-2.85,201.009,-2.823,-2.5,201.359,-2.473,-2.15,201.759,-2.073,-1.75,6126.693,27.32,1562490.0,5191190.0,False,False,0.0,1.375
26586.596,1538345.782,5203015.906,197.921,202.346,202.477,202.346,left,4.425,866.0,1562.393,5013.045,0.006,1538375.769,5202709.369,199.671,-2.806,-2.675,199.821,-2.656,-2.525,200.071,-2.406,-2.275,200.321,-2.156,-2.025,200.571,-1.906,-1.775,200.821,-1.656,-1.525,5716.759,26.18,1562490.0,5191190.0,False,False,0.0,1.625
26836.596,1538587.396,5202988.875,196.544,200.12,201.698,200.12,left,3.576,484.0,985.521,3432.941,0.006,1538434.09,5202628.096,197.944,-3.754,-2.176,198.094,-3.604,-2.026,198.394,-3.304,-1.726,198.694,-3.004,-1.426,198.894,-2.804,-1.226,199.094,-2.604,-1.026,5721.536,26.1,1562490.0,5191190.0,False,False,0.0,1.875
27086.596,1538814.713,5202896.124,195.255,198.152,199.76,198.152,left,2.897,572.0,822.472,2295.747,0.006,1538700.516,5202627.381,196.405,-3.356,-1.747,196.555,-3.206,-1.597,196.805,-2.956,-1.347,197.055,-2.706,-1.097,197.255,-2.506,-0.897,197.505,-2.256,-0.647,6218.654,26.74,1562490.0,5191190.0,False,False,0.0,2.125
27336.596,1539047.004,5202811.14,193.28,198.067,198.049,198.049,right,4.769,708.0,1792.986,7474.357,0.006,1538909.341,5202487.175,194.63,-3.419,-3.438,194.83,-3.219,-3.238,195.18,-2.869,-2.888,195.58,-2.469,-2.488,195.83,-2.219,-2.238,196.08,-1.969,-1.988,5729.018,25.76,1562490.0,5191190.0,False,False,0.0,2.375
27586.596,1539242.584,5202662.723,191.822,195.17,197.015,195.17,left,3.348,348.0,784.414,3127.329,0.007,1539001.863,5202371.284,192.922,-4.092,-2.248,192.972,-4.042,-2.198,193.172,-3.842,-1.998,193.372,-3.642,-1.798,193.572,-3.442,-1.598,193.772,-3.242,-1.398,5728.984,25.6,1562490.0,5191190.0,False,False,0.0,2.625
27836.596,1539449.64,5202528.599,189.818,193.499,194.966,193.499,left,3.681,548.0,838.152,2626.558,0.007,1539387.56,5202288.494,191.668,-3.298,-1.831,191.818,-3.148,-1.681,192.218,-2.748,-1.281,192.468,-2.498,-1.031,192.718,-2.248,-0.781,192.968,-1.998,-0.531,6382.336,25.34,1562490.0,5191190.0,False,False,0.0,2.875
28086.596,1539689.97,5202461.738,188.568,193.144,192.842,192.842,right,4.274,902.0,1483.361,4876.131,0.007,1539630.528,5202088.44,190.118,-2.724,-3.027,190.268,-2.574,-2.877,190.518,-2.324,-2.627,190.768,-2.074,-2.377,191.168,-1.674,-1.977,191.568,-1.274,-1.577,6384.88,25.1,1562490.0,5191190.0,False,False,0.0,3.125
28336.596,1539939.052,5202440.332,186.81,191.452,191.112,191.112,right,4.301,1058.0,1821.998,6178.24,0.007,1539855.708,5201916.926,188.21,-2.901,-3.242,188.31,-2.801,-3.142,188.56,-2.551,-2.892,188.81,-2.301,-2.642,189.11,-2.001,-2.342,189.66,-1.451,-1.792,6210.666,24.74,1562490.0,5191190.0,False,False,0.0,3.375
28586.596,1540184.097,5202401.859,184.615,188.979,190.231,188.979,left,4.364,842.0,1633.465,6052.613,0.007,1539931.764,5201888.525,186.065,-4.166,-2.914,186.215,-4.016,-2.764,186.465,-3.766,-2.514,186.665,-3.566,-2.314,186.965,-3.266,-2.014,187.365,-2.866,-1.614,6450.325,24.56,1562490.0,5191190.0,False,False,0.0,3.625
28836.596,1540416.381,5202309.425,182.865,185.85,187.092,185.85,left,2.984,444.0,612.218,1879.161,0.008,1540164.048,5201796.091,184.415,-2.677,-1.434,184.565,-2.527,-1.284,184.765,-2.327,-1.084,184.965,-2.127,-0.884,185.165,-1.927,-0.684,185.365,-1.727,-0.484,6555.026,24.32,1562490.0,5191190.0,False,False,0.0,3.875
29086.596,1540641.009,5202199.713,181.78,184.5,184.901,184.5,left,2.72,334.0,582.899,2147.674,0.008,1540578.366,5202072.276,182.83,-2.071,-1.67,182.98,-1.921,-1.52,183.18,-1.721,-1.32,183.33,-1.571,-1.17,183.48,-1.421,-1.02,183.68,-1.221,-0.82,7039.299,24.84,1562490.0,5191190.0,False,False,0.0,4.125
29336.596,1540851.997,5202069.349,179.619,183.786,182.847,182.847,right,3.227,694.0,688.439,1721.163,0.008,1540743.476,5201848.579,181.069,-1.777,-2.717,181.169,-1.677,-2.617,181.419,-1.427,-2.367,181.669,-1.177,-2.117,181.919,-0.927,-1.867,182.219,-0.627,-1.567,7008.536,23.94,1562490.0,5191190.0,False,False,0.0,4.375
29586.596,1541070.899,5201958.124,178.162,180.919,181.66,180.919,left,2.757,766.0,714.642,1638.249,0.007,1541019.544,5201760.694,178.412,-3.248,-2.507,178.512,-3.148,-2.407,178.712,-2.948,-2.207,178.862,-2.798,-2.057,179.112,-2.548,-1.807,179.412,-2.248,-1.507,7115.255,23.74,1562490.0,5191190.0,False,False,0.0,4.625
29836.596,1541319.793,5201964.961,176.869,181.652,176.869,176.869,right,0.0,0.0,0.0,0.0,0.007,1541373.663,5201745.475,176.919,0.05,-4.733,176.919,0.05,-4.733,176.919,0.05,-4.733,176.919,0.05,-4.733,176.919,0.05,-4.733,176.919,0.05,-4.733,7423.852,23.3,1562490.0,5191190.0,False,False,0.0,4.875
30086.596,1541550.618,5202043.539,175.413,179.874,178.19,178.19,right,2.777,276.0,452.202,1425.018,0.006,1541576.838,5201936.709,175.463,-2.727,-4.411,175.463,-2.727,-4.411,175.463,-2.727,-4.411,175.463,-2.727,-4.411,175.463,-2.727,-4.411,175.463,-2.727,-4.411,7696.532,23.28,1562490.0,5191190.0,False,False,0.0,5.125
30336.596,1541777.677,5202142.423,173.895,179.032,176.56,176.56,right,2.665,108.0,205.909,678.074,0.006,1541781.014,5202128.827,173.945,-2.615,-5.087,173.945,-2.615,-5.087,173.945,-2.615,-5.087,174.095,-2.465,-4.937,174.445,-2.115,-4.587,174.745,-1.815,-4.287,8022.537,23.08,1562490.0,5191190.0,False,False,0.0,5.375
30586.596,1542016.665,5202121.628,172.115,175.29,176.398,175.29,left,3.175,236.0,297.746,679.907,0.005,1542014.095,5202116.206,173.465,-2.933,-1.825,173.615,-2.783,-1.675,173.815,-2.583,-1.475,174.015,-2.383,-1.275,174.215,-2.183,-1.075,174.415,-1.983,-0.875,8184.657,23.02,1562490.0,5191190.0,False,False,0.0,5.625
30836.596,1542239.876,5202011.743,170.656,173.355,173.861,173.355,left,2.699,78.0,147.002,339.074,0.003,1542215.3,5201980.183,172.006,-1.855,-1.349,172.106,-1.755,-1.249,172.356,-1.505,-0.999,172.556,-1.305,-0.799,172.706,-1.155,-0.649,172.906,-0.955,-0.449,8199.452,22.86,1562490.0,5191190.0,False,False,0.0,5.875
