road,points_inundated_gt_0.1m,max_depth_m
Carleton Road,16.0,1.29
Wolffs Road,44.0,0.58
Poyntzs Road,40.0,1.06
Pesters Road,31.0,1.03
Downs Road,30.0,0.91
Browns Road,77.0,1.15
Two Chain Road,42.0,0.94
Diversion Road,27.0,0.27
Wrights Road,3.0,0.13
Dixon Road,0.0,0.0
South Eyre Road,213.0,1.03
Thongcaster Road,0.0,0.0
Domain Road,1.0,0.12
Barrett Road,0.0,0.0
Kennedy Road,,
North Eyre Road,9.0,0.16
Dixons Road,,
Harmans Gorge Road,14.0,1.1
Depot Road,30.0,1.21
Warren Road,28.0,1.16
Steffens Road,19.0,1.18
Tram Road,0.0,0.0
