road,Damwatch 2016 arrival (h),model arrival (h),Damwatch depth (m),model max depth (m)
Carleton Road,0.83,1.4,0.71,0.6
Wolffs Road,1.17,2.1,0.59,0.71
Poyntzs Road,1.58,2.85,0.41,0.68
Pesters Road,1.83,3.32,0.55,0.7
Downs Road,2.5,,0.33,0.0
Browns Road,3.5,,0.5,0.0
Two Chain Road,4.33,,0.37,0.0
Diversion Road,5.58,,<0.1,0.0
